InvoiceDate,AvgNetFare,TotalNetFare
2018-08-18,3736.3333333333335,706167.0
2018-08-19,3524.8736842105263,334863.0
2018-08-20,4341.721590909091,764143.0
2018-08-21,4341.721590909091,0.0
2018-08-22,4341.721590909091,0.0
2018-08-23,4341.721590909091,0.0
2018-08-24,4341.721590909091,0.0
2018-08-25,4341.721590909091,0.0
2018-08-26,4341.721590909091,0.0
2018-08-27,4341.721590909091,0.0
2018-08-28,4341.721590909091,0.0
2018-08-29,4341.721590909091,0.0
2018-08-30,4341.721590909091,0.0
2018-08-31,4341.721590909091,0.0
2018-09-01,3998.893023255814,859762.0
2018-09-02,3691.7537313432836,494695.0
2018-09-03,3800.0472727272727,1045013.0
2018-09-04,3838.2490974729244,1063195.0
2018-09-05,3648.7570093457944,1171251.0
2018-09-06,3979.590405904059,1078469.0
2018-09-07,3694.25,1211714.0
2018-09-08,3749.1974789915967,892309.0
2018-09-09,4130.269662921349,367594.0
2018-09-10,3769.139194139194,1028975.0
2018-09-11,3534.194202898551,1219297.0
2018-09-12,3570.7158273381297,992659.0
2018-09-13,3525.214285714286,1036413.0
2018-09-14,3443.544117647059,1170805.0
2018-09-15,3585.7359307359307,828305.0
2018-09-16,3733.6716417910447,250156.0
2018-09-17,3746.22,749244.0
2018-09-18,3884.2383720930234,1336178.0
2018-09-19,3763.9095477386936,1498036.0
2018-09-20,4039.314641744548,1296620.0
2018-09-21,3726.626404494382,1326679.0
2018-09-22,3528.520930232558,758632.0
2018-09-23,3130.6987951807228,259848.0
2018-09-24,3780.2966751918157,1478096.0
2018-09-25,3848.437037037037,1558617.0
2018-09-26,3868.6258992805756,1075478.0
2018-09-27,3741.990566037736,1189953.0
2018-09-28,3595.602409638554,895305.0
2018-09-29,3792.1977186311788,997348.0
2018-09-30,3544.275280898876,630881.0
2018-10-01,3815.536023054755,1323991.0
2018-10-02,3737.8661710037177,1005486.0
2018-10-03,3784.6167471819645,2350247.0
2018-10-04,3838.132075471698,1423947.0
2018-10-05,3768.9667519181585,1473666.0
2018-10-06,3905.251937984496,1007555.0
2018-10-07,3977.7426470588234,540973.0
2018-10-08,3910.6329113924053,1544700.0
2018-10-09,3939.9661458333335,1512947.0
2018-10-10,3891.706586826347,1299830.0
2018-10-11,4370.42641509434,1158163.0
2018-10-12,4710.039473684211,715926.0
2018-10-13,4546.304347826087,418260.0
2018-10-14,4621.058139534884,397411.0
2018-10-15,4721.60669456067,1128464.0
2018-10-16,4848.964824120603,964944.0
2018-10-17,4820.12962962963,1041148.0
2018-10-18,4550.556962025316,718988.0
2018-10-19,4528.029069767442,778821.0
2018-10-20,4262.601941747573,878096.0
2018-10-21,4180.553459119496,664708.0
2018-10-22,4353.351351351352,1288592.0
2018-10-23,4161.8199513382,1710508.0
2018-10-24,4434.25,1206116.0
2018-10-25,4038.9913793103447,1405569.0
2018-10-26,4175.145833333333,1202442.0
2018-10-27,4409.218487394958,1049394.0
2018-10-28,4291.543859649123,489236.0
2018-10-29,4268.4524886877825,943328.0
2018-10-30,4457.214673913043,1640255.0
2018-10-31,3978.869731800766,1038485.0
2018-11-01,4295.70625,687313.0
2018-11-02,4243.605405405406,785067.0
2018-11-03,4146.373134328358,555614.0
2018-11-04,4063.4727272727273,223491.0
2018-11-05,4280.1654676258995,594943.0
2018-11-06,4160.264367816092,723886.0
2018-11-07,4183.46,209173.0
2018-11-08,3957.8823529411766,470988.0
2018-11-09,4085.586776859504,494356.0
2018-11-10,4043.3711340206187,392207.0
2018-11-11,4243.25,254595.0
2018-11-12,4122.279279279279,915146.0
2018-11-13,4191.632124352332,808985.0
